 id_item | id_material_extra |                                               descripcion                                               |                  categoria                  |             presentacion              |       unidad       | permite_decimales | cantidad_disponible |          marca           | estado_calidad |  ubicacion  | precioxunidad |                          uso_principal                          |      ultima_modificacion      | stock_minimo
     217 | MCO-TAP-PU01      | Tapete de hule chico para puerta ßrea comercial Greenhome                                               | Tapetes                                     | 23 x 15 cms                           | Pza                | t                 |                   1 | Greenhome                | Bueno          |             |               | Entrada o protecci≤n de piso                                    | 2025-06-18 15:23:05.241333-06 |         0.00
     239 | MCA-AGM-120R      | Aguja metßlica 19/120 para mßquina recta Groz Beckert                                                   | Agujas                                      | 19/120                                | Pza                | t                 |                   0 | Groz Beckert             | Bueno          |             |               | Costura reforzada con mßquina recta                             | 2025-06-18 15:23:05.241333-06 |         0.00
     212 | HAT-TAB-3223R     | Tabla con clip metßlico tama±o carta (estado regular) S/M                                               | Tablas                                      | 32 x 23 cms                           | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Soporte de formatos en campo o inventarios                      | 2025-07-10 16:45:29.122731-06 |         0.00
     241 | MCC-DIE-1445      | Dientes para mßquina recta mod. 14 45 00 / 14 45 01                                                     | Caja de plßstico de 14 x 6 cms con seguro   | Estßndar                              | Pza                | t                 |                   1 | mod. 14 45 00 / 14 45 01 | Bueno          |             |               | Avance de tela en mßquina recta                                 | 2025-06-18 15:23:05.241333-06 |         0.00
     242 | MCC-PLA-7322      | Placa para mßquina recta mod. 14 732 2001                                                               | Caja de plßstico de 14 x 6 cms con seguro   | Estßndar                              | Pza                | t                 |                   1 | mod. 14 732 2001         | Bueno          |             |               | Guφa de aguja para mßquina recta                                | 2025-06-18 15:23:05.241333-06 |         0.00
     243 | MCC-PIE-127P      | Pie plano para mßquina recta mod. P127 / 150 78 9101                                                    | Caja de plßstico de 14 x 6 cms con seguro   | Estßndar                              | Pza                | t                 |                   1 | mod. P127 / 150 78 9101  | Bueno          |             |               | Presi≤n y direcci≤n en costura recta                            | 2025-06-18 15:23:05.241333-06 |         0.00
     244 | MCC-PLA-014N      | Placa para agujas 1/4" negra (mßquina original) S/M                                                     | Caja de plßstico de 14 x 6 cms con seguro   | 1/4"                                  | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Soporte y fijaci≤n de agujas en mßquina original                | 2025-06-18 15:23:05.241333-06 |         0.00
     245 | MCC-DIE-014N      | Diente para mßquina 2 agujas 1/4" negra (mßquina original) S/M                                          | Caja de plßstico de 14 x 6 cms con seguro   | 1/4"                                  | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Movimiento de tela en mßquina de 2 agujas                       | 2025-06-18 15:23:05.241333-06 |         0.00
     246 | MCC-PIE-2A        | Pie plano para mßquina de 2 agujas (mßquina original) S/M                                               | Caja de plßstico de 14 x 6 cms con seguro   | Estßndar                              | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Fijaci≤n de tela en costura de doble aguja                      | 2025-06-18 15:23:05.241333-06 |         0.00
     247 | MCC-CIN-150W      | Cinta de tela mascota 1 1/2" color blanca para redes Milano                                             | Cintas                                      | 50 mts                                | Mts                | t                 |                   1 | Milano                   | Bueno          |             |               | Refuerzo de redes deportivas                                    | 2025-06-18 15:23:05.241333-06 |         0.00
     248 | MCC-CIN-100F      | Cinta de felpa (parte suave) 1" negra en rollo Italia                                                   | Cintas                                      | 20 mts                                | Mts                | t                 |                   1 | Italia                   | Bueno          |             |               | Uniones textiles y cierres tipo velcro (felpa)                  | 2025-06-18 15:23:05.241333-06 |         0.00
     249 | MCC-CIN-100H      | Cinta de gancho (hook) 1" negra en rollo Italia                                                         | Cintas                                      | 20 mts                                | Mts                | t                 |                   1 | Italia                   | Bueno          |             |               | Uniones textiles y cierres tipo velcro (gancho)                 | 2025-06-18 15:23:05.241333-06 |         0.00
     250 | MCC-CIN-020R      | Cinta de tela circular color rojo 2 cm en rollo S/M                                                     | Cintas                                      | 25 mts                                | Mts                | t                 |                   1 | S/M                      | Bueno          |             |               | Sujeci≤n y acabados de textiles                                 | 2025-06-18 15:23:05.241333-06 |         0.00
     251 | MCC-CIN-050N      | Cinta de tela color negro 5 cm en rollo S/M                                                             | Cintas                                      | 25 mts                                | Mts                | t                 |                   1 | S/M                      | Bueno          |             |               | Refuerzo estructural en redes o costura tΘcnica                 | 2025-06-18 15:23:05.241333-06 |         0.00
     252 | MCC-CIN-100E      | Cinta de tela tipo lona elßstica negra 1" en rollo S/M                                                  | Cintas                                      | 20 mts                                | Mts                | t                 |                   1 | S/M                      | Bueno          |             |               | Sujeci≤n elßstica de redes y lonas                              | 2025-06-18 15:23:05.241333-06 |         0.00
