 id_item | id_material_extra |                                               descripcion                                               |                  categoria                  |             presentacion              |       unidad       | permite_decimales | cantidad_disponible |          marca           | estado_calidad |  ubicacion  | precioxunidad |                          uso_principal                          |      ultima_modificacion      | stock_minimo
      19 | MCO-CIN-P18       | Cinchos hechos con piola calibre 18                                                                     | Cinchos de nylon y cinchos hechos con piola | Variados (13 cms a 2.19 mts)          | Pza (hecho a mano) | t                 |                   1 | S/M                      | Bueno          |             |               | Amarre r·stico o personalizado                                  | 2025-06-18 15:23:05.241333-06 |         0.00
      20 | MCO-CIN-P120      | Cinchos hechos con piola calibre 120                                                                    | Cinchos de nylon y cinchos hechos con piola | 1.30 mts y 2 mts                      | Pza (hecho a mano) | t                 |                   1 | S/M                      | Bueno          |             |               | Sujeci≤n fuerte o estructuras semipermanentes                   | 2025-06-18 15:23:05.241333-06 |         0.00
      28 | MCO-CUE-08N-C     | Cuerda reforzada 8 mm color negro Cordelerφa                                                            | Cuerdas                                     | Bobina de 250 mts                     | Pza (Bobina)       | t                 |                   1 | Cordelerφa               | Bueno          |             |               | Instalaciones deportivas, amarres estructurales                 | 2025-06-18 15:23:05.241333-06 |         0.00
      29 | MCO-CUE-08N-M     | Cuerda reforzada 8 mm color negro Mediterrßnea                                                          | Cuerdas                                     | Bobina de 120 mts                     | Pza (Bobina)       | t                 |                   1 | Mediterrßnea             | Bueno          |             |               | Instalaciones deportivas, amarres estructurales                 | 2025-06-18 15:23:05.241333-06 |         0.00
      30 | MCO-CUE-12N-C     | Cuerda reforzada 12 mm color negro Cordelerφa                                                           | Cuerdas                                     | Bobina de 250 mts                     | Pza (Bobina)       | t                 |                   1 | Cordelerφa               | Bueno          |             |               | Instalaciones de alta resistencia                               | 2025-06-18 15:23:05.241333-06 |         0.00
      31 | MCO-RAP-050B      | Cuerda de rappel blanca 50 mts                                                                          | Cuerdas                                     | Tramo de 50 mts                       | Pza (Tramo)        | t                 |                   1 | S/M                      | Bueno          |             |               | Anclajes, usos verticales                                       | 2025-06-18 15:23:05.241333-06 |         0.00
      32 | MCO-RAP-100B      | Cuerda de rappel blanca 100 mts                                                                         | Cuerdas                                     | Tramo de 100 mts                      | Pza (Tramo)        | t                 |                   1 | S/M                      | Bueno          |             |               | Anclajes, usos verticales                                       | 2025-06-18 15:23:05.241333-06 |         0.00
      33 | MCO-RAP-100B-D    | Cuerda de rappel blanca 100 mts con nudos y manchas                                                     | Cuerdas                                     | Tramo de 100 mts                      | Pza (Tramo)        | t                 |                   1 | S/M                      | Bueno          |             |               | Uso restringido o provisional                                   | 2025-06-18 15:23:05.241333-06 |         0.00
      35 | MCO-ETQ-MOC       | Etiqueta de lona mediana 25 x 7.5 cm cortada con ojillo                                                 | Etiquetas                                   | 25 x 7.5 cms                          | Pza                | t                 |                   0 | S/M                      | Bueno          |             |               | Identificaci≤n cosida o fijada a red o cuerda                   | 2025-06-18 15:23:05.241333-06 |         0.00
       1 | MCO-ALG-500G      | Algod≤n industrial (500 grs)                                                                            | Algod≤n industrial                          | 500 grs                               | Pza (Bolsa)        | f                 |                   5 | S/M                      | Bueno          | Bodega CDMX |             5 | Limpieza general, proyectos menores                             | 2025-07-15 20:58:06.488573-06 |         0.00
       3 | MCA 002           | Ancla de acero tipo bast≤n de 25ö con cuerda de 5ö                                                      | Ancla de acero                              | 25ö con cuerda de 5ö                  | Pza                | t                 |                   0 | S/M                      | Bueno          |             |               | Anclaje estructural en postes o redes pesadas                   | 2025-06-18 15:23:05.241333-06 |         0.00
       4 | MCA 002T          | Tuerca hexagonal de 1ö para ancla tipo bast≤n                                                           | Ancla de acero                              | 1ö (separadas, adicionales)           | Pza                | t                 |                   0 | S/M                      | Bueno          |             |               | Refuerzo adicional para fijaciones de anclas                    | 2025-06-18 15:23:05.241333-06 |         0.00
       5 | MCO-CAB-12        | Cable de acero 1/2"                                                                                     | Cables de acero                             | 1/2"                                  | Mts                | t                 |                   0 | S/M                      | Bueno          |             |               | Tensores, refuerzos estructurales para redes de gran tensi≤n    | 2025-06-18 15:23:05.241333-06 |         0.00
      34 | MCO-ETQ-MSC       | Etiqueta de lona mediana 25 x 7.5 cm sin cortar y sin ojillo                                            | Etiquetas                                   | 25 x 7.5 cms                          | Pza                | t                 |                   0 | S/M                      | Bueno          |             |               | Etiquetado manual sin refuerzo                                  | 2025-06-18 15:23:05.241333-06 |         0.00
      37 | MCO-ETQ-GOC       | Etiqueta de lona grande 26 x 12.5 cm con ojillo                                                         | Etiquetas                                   | 26 x 12.5 cms                         | Pza                | t                 |                   0 | Pixeles                  | Bueno          |             |               | Etiquetado con resistencia para redes de alta tensi≤n           | 2025-07-05 17:03:10.333014-06 |         0.00
      21 | MCO-COP-PVC3D     | Cople de PVC doble salida 3" (blanco)                                                                   | Cople para conexiones y mangueras           | 3" doble salida                       | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Uni≤n de mangueras grandes / derivaciones                       | 2025-06-18 15:23:05.241333-06 |         0.00
      14 | MCO-CAB-16P2BL    | Cable pot doble color blanco calibre 16, 2 polos, en caja negra con tapa amarilla Voltek                | Cable pot (doble)                           | Caja con cable calibre 16             | Caja               | t                 |                   1 | Voltek                   | Bueno          |             |               | Conducci≤n elΘctrica en instalaciones tΘcnicas                  | 2025-06-18 15:23:05.241333-06 |         0.00
      38 | MCO-OJI-001C      | Ojillos de metal chicos L1 Milano                                                                       | Ojillos de Metal                            | Pza individual                        | Pza                | t                 |                   1 | Milano                   | Bueno          |             |               | Refuerzo de orificios en etiquetas, lonas o textiles            | 2025-06-18 15:23:05.241333-06 |         0.00
       2 | MCO-ALG-1KG       | Algod≤n industrial para barniz/tinta (1 kg)                                                             | Algod≤n industrial                          | 1 kg                                  | Pza (Bolsa)        | t                 |                  10 | S/M                      | Bueno          | Bodega CDMX |             5 | Aplicaciones de barniz, tinta, acabados                         | 2025-07-15 20:58:26.651034-06 |         3.00
      42 | MCO-PER-078-C     | Perro de acero 7/8" Clevis                                                                              | Perro de acero                              | Pieza suelta                          | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Sujeci≤n estructural pesada                                     | 2025-06-18 15:23:05.241333-06 |         0.00
      43 | MCO-PER-050-C     | Perro de acero 1/2" Clevis                                                                              | Perro de acero                              | Pieza suelta                          | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Fijaci≤n media para redes y postes                              | 2025-06-18 15:23:05.241333-06 |         0.00
      44 | MCO-PER-038-C     | Perro de acero 3/8" Clevis                                                                              | Perro de acero                              | Pieza suelta                          | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Fijaci≤n ligera                                                 | 2025-06-18 15:23:05.241333-06 |         0.00
      45 | MCO-PER-038-I     | Perro de acero 3/8" Clevis (incompleto)                                                                 | Perro de acero                              | Pieza con faltantes                   | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Solo uso parcial: le faltan 2 tornillos y 2 tuercas             | 2025-06-18 15:23:05.241333-06 |         0.00
      46 | MCO-PER-514-C     | Perro de acero 5 1/4" Clevis                                                                            | Perro de acero                              | Pieza suelta                          | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Fijaci≤n industrial o deportiva pesada                          | 2025-06-18 15:23:05.241333-06 |         0.00
      47 | MCO-PER-514-I     | Perro de acero 5 1/4" Clevis (incompleto)                                                               | Perro de acero                              | Pieza con faltantes                   | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Uso limitado: le faltan 1 tornillo de arco y 2 tuercas          | 2025-06-18 15:23:05.241333-06 |         0.00
      48 | MCO-PER-516-C     | Perro de acero 5/16" Clevis                                                                             | Perro de acero                              | Pieza suelta                          | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Amarre ligero                                                   | 2025-06-18 15:23:05.241333-06 |         0.00
      49 | MCO-PER-516-I     | Perro de acero 5/16" Clevis (incompleto)                                                                | Perro de acero                              | Pieza con faltantes                   | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Uso limitado: faltan 2 tornillos y 2 tuercas                    | 2025-06-18 15:23:05.241333-06 |         0.00
      50 | MCO-PIO-018-A     | Piola calibre #18 Alta Mar                                                                              | Piolas                                      | Carrete estßndar                      | Pza (Carrete)      | t                 |                   1 | Alta Mar                 | Bueno          |             |               | Amarre ligero, costuras bßsicas                                 | 2025-06-18 15:23:05.241333-06 |         0.00
      51 | MCO-PIO-036-1K    | Piola calibre #36 1 kg Alta Mar                                                                         | Piolas                                      | Rollo de 1 kg                         | Pza (Rollo)        | t                 |                   1 | Alta Mar                 | Bueno          |             |               | Costura de redes medianas                                       | 2025-06-18 15:23:05.241333-06 |         0.00
      52 | MCO-PIO-036-2K    | Piola calibre #36 2 kg Alta Mar                                                                         | Piolas                                      | Rollo de 2 kg                         | Pza (Rollo)        | t                 |                   1 | Alta Mar                 | Bueno          |             |               | Costura reforzada, trabajos continuos                           | 2025-06-18 15:23:05.241333-06 |         0.00
      53 | MCO-PIO-042-A     | Piola calibre #42 Alta Mar                                                                              | Piolas                                      | Carrete estßndar                      | Pza (Carrete)      | t                 |                   1 | Alta Mar                 | Bueno          |             |               | Redes deportivas y amarre estructural                           | 2025-06-18 15:23:05.241333-06 |         0.00
      54 | MCO-PIO-120-A     | Piola calibre #120 Alta Mar                                                                             | Piolas                                      | Carrete estßndar                      | Pza (Carrete)      | t                 |                   1 | Alta Mar                 | Bueno          |             |               | Cinchos artesanales, amarres pesados                            | 2025-06-18 15:23:05.241333-06 |         0.00
      55 | MCO-PLA-08X08F    | Placa de acero anticorrosivo 8 x 8 cm Fixe PLX 35 KN                                                    | Placasáde acero                             | 8 x 8 cms / 35 KN                     | Pza                | t                 |                   1 | Fixe PLX 35 KN           | Bueno          |             |               | Seguridad y anclaje en estructuras metßlicas                    | 2025-06-18 15:23:05.241333-06 |         0.00
      56 | MCO-PLA-14X14S    | Plantilla de acero 14" x 14" con perforaciones de 1" S/M                                                | Placasáde acero                             | 14" x 14"                             | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Fijaci≤n de postes, bases estructurales o redes pesadas         | 2025-06-18 15:23:05.241333-06 |         0.00
      57 | MCO-PLA-08X08C    | Placa de acero para cierre de cajas de plßstico 8 x 8 cm S/M                                            | Placasáde acero                             | 8 x 8 cms                             | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Cierre y aseguramiento de contenedores plßsticos                | 2025-06-18 15:23:05.241333-06 |         0.00
      59 | MCO-TAQ-045C      | Taquete metßlico corto 45/51" con tuerca plateado Clevis                                                | Taquetes                                    | 45/51"                                | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Fijaciones estructurales ligeras                                | 2025-06-18 15:23:05.241333-06 |         0.00
      61 | MCO-TAQ-038L      | Taquete metßlico largo 3/8" con tuerca plateado Clevis                                                  | Taquetes                                    | 8 x 1 cms                             | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Anclajes de mayor profundidad                                   | 2025-06-18 15:23:05.241333-06 |         0.00
      62 | MCO-TAQ-038O      | Taquete metßlico 3/8" color oro tipo Z Clevis                                                           | Taquetes                                    | 5.5 x 1.2 cms                         | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Anclajes visibles en acabado                                    | 2025-06-18 15:23:05.241333-06 |         0.00
      63 | MCO-TAQ-MX01      | Taquete metßlico 3/8" y 1/2" con tuerca y rondana oro Clevis                                            | Taquetes                                    | 8 cms                                 | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Anclajes mixtos, aplicaciones universales                       | 2025-06-18 15:23:05.241333-06 |         0.00
      64 | MCO-TAQ-MX02      | Taquete metßlico 3/8" y 1/2" con tuerca y rondana oro Clevis                                            | Taquetes                                    | 8 cms                                 | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Fijaciones m·ltiples                                            | 2025-06-18 15:23:05.241333-06 |         0.00
      65 | MCO-TAQ-012C      | Taquete metßlico corto 1/2" con tuerca plateado Clevis                                                  | Taquetes                                    | 6 x 0.8 cms                           | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Anclaje de estructuras medianas                                 | 2025-06-18 15:23:05.241333-06 |         0.00
      66 | MCO-TAQ-012L      | Taquete metßlico largo 1/2" con tuerca y rondana plateados Clevis                                       | Taquetes                                    | 9 x 1 cms                             | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Fijaciones profundas de alta resistencia                        | 2025-06-18 15:23:05.241333-06 |         0.00
      67 | MCO-TAQ-012S      | Taquete metßlico largo 1/2" sin tuerca plateado Clevis                                                  | Taquetes                                    | 9.5 x 1 cms                           | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Usos provisionales o reemplazos                                 | 2025-06-18 15:23:05.241333-06 |         0.00
      68 | MCO-TAQ-038S      | Taquete metßlico corto 3/8" sin tuerca plateado Clevis                                                  | Taquetes                                    | 7 x 1 cms                             | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Fijaci≤n alternativa (1 con tuerca incluida)                    | 2025-06-18 15:23:05.241333-06 |         0.00
      69 | MCO-TAQ-ARP115E   | Taquete de metal expansivo tipo arp≤n 11.5 x 0.8 cm con tuerca Clevis                                   | Taquetes                                    | 11.5 x 0.8 cms                        | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Fijaci≤n estructural                                            | 2025-06-18 15:23:05.241333-06 |         0.00
      70 | MCO-TAQ-ARP075V   | Taquete de metal expansivo tipo arp≤n 7.5 x 1 cm (1 c/tuerca s/rondana, 1 s/tuerca) Clevis              | Taquetes                                    | 7.5 x 1 cms                           | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Fijaciones variadas                                             | 2025-06-18 15:23:05.241333-06 |         0.00
      72 | MCO-TAQ-ARP070S   | Taquete de metal expansivo tipo arp≤n 7.0 x 0.8 cm sin tuerca ni armella Clevis                         | Taquetes                                    | 7.0 x 0.8 cms                         | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Uso general en estructuras medianas                             | 2025-06-18 15:23:05.241333-06 |         0.00
      73 | MCO-TAQ-ARP070A   | Taquete de metal expansivo tipo arp≤n 7.0 x 0.7 cm con armella Clevis                                   | Taquetes                                    | 7.0 x 0.7 cms                         | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Sujeci≤n de elementos con gancho                                | 2025-06-18 15:23:05.241333-06 |         0.00
      75 | MCO-TAQ-ARP054S   | Taquete de metal expansivo tipo arp≤n 5.4 x 0.5 cm sin tuerca ni armella Clevis                         | Taquetes                                    | 5.4 x 0.5 cms                         | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Sujeci≤n provisional                                            | 2025-06-18 15:23:05.241333-06 |         0.00
      76 | MCO-TAQ-ARP058S   | Taquete de metal expansivo tipo arp≤n 5.8 x 0.5 cm sin tuerca ni armella Clevis                         | Taquetes                                    | 5.8 x 0.5 cms                         | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Elementos ligeros, fijaci≤n directa                             | 2025-06-18 15:23:05.241333-06 |         0.00
      77 | MCO-TAQ-PL050GC   | Taquete plßstico expansivo 5 x 1 cm color gris claro S/M                                                | Taquetes                                    | 5 x 1 cms (1/2")                      | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Sujeci≤n bßsica en interiores                                   | 2025-06-18 15:23:05.241333-06 |         0.00
      78 | MCO-TAQ-PL050GO   | Taquete plßstico expansivo 5 x 0.7 cm color gris oscuro S/M                                             | Taquetes                                    | 5 x 0.7 cms (1/2")                    | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Aplicaciones ligeras                                            | 2025-06-18 15:23:05.241333-06 |         0.00
      71 | MCO-TAQ-ARP070TR  | Taquete de metal expansivo tipo arp≤n 7.0 x 0.5 cm con tuerca y rondana Clevis                          | Taquetes                                    | 7.0 x 0.5 cms                         | Pza                | t                 |                   0 | Clevis                   | Bueno          |             |               | Fijaci≤n liviana con refuerzo completo                          | 2025-06-30 21:24:07.449329-06 |         0.00
      58 | MCO-PLA-EMPL47    | Plßstico para emplayado 47 S/M                                                                          | Plastico para emplayado                     | 50 cms x 17 mic x 15 m                | Pza (Rollo)        | t                 |                   0 | S/M                      | Bueno          |             |               | Protecci≤n y embalaje de materiales y equipos                   | 2025-06-18 15:23:05.241333-06 |         0.00
      39 | MCO-OJI-003M      | Ojillos de metal medianos L3 Milano                                                                     | Ojillos de Metal                            | Pza individual                        | Pza                | t                 |                   1 | Milano                   | Bueno          |             |               | Refuerzo de orificios en etiquetas, lonas o textiles            | 2025-06-18 15:23:05.241333-06 |         0.00
      60 | MCO-TAQ-038CR     | Taquete metßlico corto 3/8" con tuerca y rondanas plateado Clevis                                       | Taquetes                                    | 5.5 x 0.5 cms                         | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Sujeciones intermedias                                          | 2025-07-05 16:56:59.578706-06 |         0.00
      79 | MCO-TAQ-PL040GO   | Taquete plßstico expansivo 4 x 0.5 cm color gris oscuro S/M                                             | Taquetes                                    | 4 x 0.5 cms (5/16")                   | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Instalaciones en concreto delgado                               | 2025-06-18 15:23:05.241333-06 |         0.00
      80 | MCO-TAQ-PL035GC   | Taquete plßstico expansivo 3.5 x 0.5 cm color gris claro S/M                                            | Taquetes                                    | 3.5 x 0.5 cms (8 mm)                  | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Montajes medianos                                               | 2025-06-18 15:23:05.241333-06 |         0.00
      81 | MCO-TAQ-PL035GO   | Taquete plßstico expansivo 3.5 x 0.5 cm color gris oscuro S/M                                           | Taquetes                                    | 3.5 x 0.5 cms (8 mm)                  | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Uso general                                                     | 2025-06-18 15:23:05.241333-06 |         0.00
      82 | MCO-TAQ-PL025B    | Taquete plßstico expansivo 2.5 x 0.5 cm color blanco S/M                                                | Taquetes                                    | 2.5 x 0.5 cms                         | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Fijaci≤n ligera                                                 | 2025-06-18 15:23:05.241333-06 |         0.00
      83 | MCO-TAQ-PL030N    | Taquete plßstico expansivo 3.0 x 0.5 cm color naranja S/M                                               | Taquetes                                    | 3.0 x 0.5 cms                         | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Uso visual en instalaciones                                     | 2025-06-18 15:23:05.241333-06 |         0.00
      84 | MCO-TAQ-PL035R    | Taquete plßstico expansivo 3.5 x 0.5 cm color rojo S/M                                                  | Taquetes                                    | 3.5 x 0.5 cms                         | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Identificaci≤n por color                                        | 2025-06-18 15:23:05.241333-06 |         0.00
      85 | MCO-TAQ-SET4B     | Taquetes plßsticos blancos 2.5 x 0.5 cm c/4 tornillos acero 2 cm (set de 4) S/M                         | Taquetes                                    | Set de 4 piezas                       | Pza (Set)          | t                 |                   1 | S/M                      | Bueno          |             |               | Montajes ligeros en interiores                                  | 2025-06-18 15:23:05.241333-06 |         0.00
      86 | MCO-TAQ-SET2B     | Taquetes plßsticos blancos 2.5 x 0.5 cm c/2 tornillos acero 2 cm (set de 2) S/M                         | Taquetes                                    | Set de 2 piezas                       | Pza (Set)          | t                 |                   1 | S/M                      | Bueno          |             |               | Fijaciones bßsicas                                              | 2025-06-18 15:23:05.241333-06 |         0.00
      87 | MCO-TAQ-SET2G     | Taquetes plßsticos grises 2.5 x 0.5 cm c/2 tornillos acero 2 cm (set de 2) S/M                          | Taquetes                                    | Set de 2 piezas                       | Pza (Set)          | t                 |                   1 | S/M                      | Bueno          |             |               | Uso general en concreto ligero                                  | 2025-06-18 15:23:05.241333-06 |         0.00
      88 | MCO-TAQ-SET2V-B   | Taquetes plßsticos verdes 2.8 x 0.5 cm c/2 tornillos y broche seguridad 3 cm S/M                        | Taquetes                                    | Set de 2 piezas + broche              | Pza (Set)          | t                 |                   1 | S/M                      | Bueno          |             |               | Fijaci≤n reforzada con broche                                   | 2025-06-18 15:23:05.241333-06 |         0.00
      89 | MCO-TAQ-SET2G-O   | Taquetes plßsticos grises 2.5 x 0.5 cm c/2 tornillos oro de 2 cm (set de 2) S/M                         | Taquetes                                    | Set de 2 piezas                       | Pza (Set)          | t                 |                   1 | S/M                      | Bueno          |             |               | Instalaci≤n de acabado decorativo                               | 2025-06-18 15:23:05.241333-06 |         0.00
      90 | MCO-TAQ-TORB      | Taquete plßstico blanco 4 x 1 cm c/punta de tornillo y cabeza de cruz Clevis                            | Taquetes                                    | Pieza ·nica                           | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Montajes especiales con anclaje directo                         | 2025-06-18 15:23:05.241333-06 |         0.00
      91 | MCO-TAQ-TORA      | Taquete plßstico azul 4 x 1 cm c/cabeza de cruz Clevis                                                  | Taquetes                                    | Pieza ·nica                           | Pza                | t                 |                   1 | Clevis                   | Bueno          |             |               | Fijaci≤n identificable por color                                | 2025-06-18 15:23:05.241333-06 |         0.00
      92 | MCO-TUB-3048      | Tubo PVC blanco 3" dißmetro x 0.48 m largo S/M                                                          | Tubos PVC                                   | 0.48 x 3"                             | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Conducci≤n ligera o estructura                                  | 2025-06-18 15:23:05.241333-06 |         0.00
      93 | MCO-TUB-3247      | Tubo PVC blanco 3" dißmetro x 2.47 m largo S/M                                                          | Tubos PVC                                   | 2.47 x 3"                             | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Conducci≤n o armado estructural                                 | 2025-06-18 15:23:05.241333-06 |         0.00
      94 | MCO-TUB-3296      | Tubo PVC blanco 3" dißmetro x 2.96 m largo S/M                                                          | Tubos PVC                                   | 2.96 x 3"                             | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Conducci≤n o armado estructural                                 | 2025-06-18 15:23:05.241333-06 |         0.00
      95 | MCO-TUB-3297      | Tubo PVC blanco 3" dißmetro x 2.97 m largo S/M                                                          | Tubos PVC                                   | 2.97 x 3"                             | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Conducci≤n o armado estructural                                 | 2025-06-18 15:23:05.241333-06 |         0.00
      96 | MCO-TUB-3298      | Tubo PVC blanco 3" dißmetro x 2.98 m largo S/M                                                          | Tubos PVC                                   | 2.98 x 3"                             | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Conducci≤n o armado estructural                                 | 2025-06-18 15:23:05.241333-06 |         0.00
      97 | MCO-TUB-1174      | Tubo PVC blanco p/Paddle 1" dißmetro x 0.74 m largo S/M                                                 | Tubos PVC                                   | 0.74 x 1"                             | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Accesorio Paddle ligero                                         | 2025-06-18 15:23:05.241333-06 |         0.00
      98 | MCO-TUB-1197      | Tubo PVC blanco p/Paddle 1" dißmetro x 0.97 m largo S/M                                                 | Tubos PVC                                   | 0.97 x 1"                             | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Accesorio Paddle ligero                                         | 2025-06-18 15:23:05.241333-06 |         0.00
      99 | MCO-TUB-8154      | Tubo PVC verde 8" dißmetro x 1.54 m largo S/M                                                           | Tubos PVC                                   | 1.54 x 8"                             | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Conducci≤n de gran volumen                                      | 2025-06-18 15:23:05.241333-06 |         0.00
     100 | MCO-TUB-8288      | Tubo PVC verde 8" dißmetro x 2.88 m largo S/M                                                           | Tubos PVC                                   | 2.88 x 8"                             | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Conducci≤n de gran volumen                                      | 2025-06-18 15:23:05.241333-06 |         0.00
     101 | MCO-TUB-8290      | Tubo PVC verde 8" dißmetro x 2.90 m largo S/M                                                           | Tubos PVC                                   | 2.90 x 8"                             | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Conducci≤n de gran volumen                                      | 2025-06-18 15:23:05.241333-06 |         0.00
     102 | MCO-HEB-038P      | Hebilla de plßstico negro de 1.5" (38 mm) Milano                                                        | Hebillas                                    | Pieza suelta                          | Pza                | t                 |                   1 | Milano                   | Bueno          |             |               | Sujeci≤n de correas, lonas o amarres tΘcnicos                   | 2025-06-18 15:23:05.241333-06 |         0.00
     103 | MCO-HEB-050PB     | Hebilla de plßstico de 2" con bandola de 38 mm Milano                                                   | Hebillas                                    | 2"                                    | Pza                | t                 |                   1 | Milano                   | Bueno          |             |               | Fijaci≤n de redes de tenis y pßdel con bandola integrada        | 2025-06-18 15:23:05.241333-06 |         0.00
     104 | MCO-HEB-025A      | Hebilla de acero de 1" Milano                                                                           | Hebillas                                    | 1"                                    | Pza                | t                 |                   1 | Milano                   | Bueno          |             |               | Ajuste y sujeci≤n de correas metßlicas o cintas reforzadas      | 2025-06-18 15:23:05.241333-06 |         0.00
     105 | MCO-GAN-ANC15     | Gancho de acero de anclaje para Winch 15 cm S/M                                                         | Ganchos                                     | 15 cms                                | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Anclaje de carga                                                | 2025-06-18 15:23:05.241333-06 |         0.00
     106 | MCO-GAN-TU38      | Gancho de acero 3/8" con tuerca para Winch Wllit                                                        | Ganchos                                     | 3/8"                                  | Pza                | t                 |                   1 | Wllit                    | Bueno          |             |               | Conexi≤n reforzada con tuerca                                   | 2025-06-18 15:23:05.241333-06 |         0.00
     107 | MCO-GAN-SEGCR     | Gancho de acero 5/16" con cierre redondo para tornillo (seguridad Winch) Vecker                         | Ganchos                                     | 5/16" (7.9mm)                         | Pza                | t                 |                   1 | Vecker                   | Bueno          |             |               | Agarre seguro para Winch                                        | 2025-06-18 15:23:05.241333-06 |         0.00
     108 | MCO-GAN-RESAR     | Gancho de acero 5/16" con seguro de resorte y cierre de arco para tornillo (Winch) Vecker               | Ganchos                                     | 5/16" (7.9mm)                         | Pza                | t                 |                   1 | Vecker                   | Bueno          |             |               | Cierre seguro con resorte                                       | 2025-06-18 15:23:05.241333-06 |         0.00
     109 | MCO-GAN-SEGAR     | Gancho de acero 5/16" para agarre de seguridad con cierre de arco para tornillo (Winch) Vecker          | Ganchos                                     | 5/16"                                 | Pza                | t                 |                   1 | Vecker                   | Bueno          |             |               | Sujeci≤n de seguridad para Winch                                | 2025-06-18 15:23:05.241333-06 |         0.00
     110 | MCO-GAN-BAN38     | Gancho plßstico negro para bandola 2" (38 mm) S/M                                                       | Ganchos                                     | 2" (38 mm)                            | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Fijaci≤n de bandolas o accesorios                               | 2025-06-18 15:23:05.241333-06 |         0.00
     111 | MCO-GAN-BANXX     | Gancho plßstico negro para bandola para redes de tenis y pßdel Milano                                   | Ganchos                                     | S/E                                   | Pza                | t                 |                   1 | Milano                   | Bueno          |             |               | Fijaci≤n de redes deportivas con bandola                        | 2025-06-18 15:23:05.241333-06 |         0.00
     113 | MCO-ABZ-060A      | Abrazadera metßlica chica tipo arco p/tornillos 8 mm S/M                                                | Abrazaderas                                 | 6 cms                                 | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Ensamble estructural bßsico                                     | 2025-06-18 15:23:05.241333-06 |         0.00
     116 | MCO-ABZ-048M      | Abrazadera metßlica chica tipo mΘnsula S/M                                                              | Abrazaderas                                 | 4.8 x 4.8 cms                         | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Anclaje puntual en estructuras                                  | 2025-06-18 15:23:05.241333-06 |         0.00
     118 | MCO-LIMP-001      | ┴cido murißtico industrial/domΘstico 1 L (limpieza de ba±os) CRIS                                       | ┴cido murißtico                             | Botella 1 L                           | Pza                | t                 |                   1 | CRIS                     | Bueno          |             |               | Limpieza de residuos minerales y sarro                          | 2025-06-18 15:23:05.241333-06 |         0.00
